name,vendor,product,identifier
Salesforce Logs,salesforce,salesforce,ab109687acd24978aabcb7ad8b5742e3
Salesforce Snapshot,salesforce,salesforce,addbf31a6372491e88d45934dff5b5b0
Dropbox Events,dropbox,events,a6322b2fd9e545e0a4223ba754c48fb9
Dropbox Directory,dropbox,directory,e8d2c52bc9594621924fab0507264586
Workday,workday,workday,00d4e740702d4eb2939a87c2318513dd
GCP Pub/Sub,Google,Cloud Logging,00a8322c85e14beabfa7ad5f3d62db73
Okta,Okta,Sso,5faf4c1fdb8443d9920d6a54815432c1
Azure AD,MSFT,Azure AD,c00d6d52e5b141a8baa8db9d9345423d
PingOne,PingID,PingONE,924951a8394b4605b1725f943292ab4f
CrowdStrike Falcon Event Streams,CrowdStrike,falcon_incident,230b2b0233bf4327806af72e6e5769f3
CrowdStrike Hosts,CrowdStrike,hosts,8b673ac8e2f34b4a8dc14c22f0e6063b
Amazon S3,Amazon,AWS,096df3982d204e22a6e7ada4561c671e
CrowdStrike Falcon Data Replicator,CrowdStrike,FDR,6cd7d60f0ff5497baecf6b9073c8000e
SentinelOne Deep Visibility Cloud Funnel,SentinelOne,Deep_Visibility,b9fa55e6fa564c709358425ce0f61517
Azure Event Hub,MSFT,Azure,fce13a1d51294f84bae4a37851503060
Microsoft Defender for Endpoint Event Hubs,MSFT,Defender,ce9e8cf36e0742c38aa89787a256855f
ServiceNow CMDB,servicenow,cmdb,8b3e767247e44471a95e563378d0b9be
Prisma Cloud,Prisma,Cloud,f8c3403a02fd4147862ee293bf4e74e2
Prisma Assets,Prisma,Assets,6a61c1cba1b64cd2a977c76c41f7950d
Proofpoint TAP,Proofpoint,TAP,3eefce0f791e4391a3643b8cf860a361
O365_ACTIVITY,msft,O365 Exchange Online,dee8e85ce7db4573a8bc21b807e1d73a
O365_EMAILS,msft,o365_emails,2404027b924f4311b595a8a8253a3025
Azure AD_AUDIT,msft,Azure AD Audit,0e076d5abe864bf78e8145ea9e0d749e
Azure AD_AUTH,msft,Azure AD,f56dcfdf6bca43e793a4b6e9290e7b12
Azure AD_AUTH,msft,Azure AD,3f1d1c4bc0bc44669c99020146f0f127
AZURE_SECURITY,msft,Graph Security Alerts,5619f2f691fc46c4b202587fdaa031c3
PANW IoT Devices,PANW,iot-security-devices,80cee50bfc6e4ac5b34b19794b767acd
PANW IoT Alerts,PANW,iot-security-alerts,e772949c88ec4107ad81ec38061d35c0
Google Workspace Audits,Google,gsuit_reports,3ddd43030db142839568943e0a2fe785
Gmail,Google,gmail,8607490288d1407ba82b5c5ad9dc64a0
Box,box,box,6340b72207524895b23ed68e2f17a9bd
Box,box,box,3ef05d14ae9349f8bbd48c8a4797334a
OneLogin,onelogin,events,22b23a3f9f1e49998645b683d5dc3a6f
OneLogin,onelogin,OneLogin,88cfbd3e7b974d999b10edac83995b8a
Google Workspace Alerts,Google,Workspace Alerts,4f263650cd29475c81f2ff953cf19827
Office 365 Email,msft,o365_emails,5d16c01db39e4e61b6b73fe80751a8a0
Office 365 Email,msft,o365_emails,0d0f4cc7654b40c6b519405fccd20dc0
O365_METADATA_DEVICES,msft,o365_devices,de229685f708413fad46289657ea09de
O365_METADATA_DEVICES,msft,o365_devices,17f6adbe7e424f0d9eab82a8d9ff3d10
O365_METADATA_MAILBOX_RULES,msft,o365_rules,6b925df8923d4038bf78998d1ffde77c
O365_METADATA_MAILBOX_RULES,msft,o365_rules,f0da8c2a195e4a0d9375b70d575db5c1
O365_METADATA_USERS,msft,o365_users,dcfb7a412e654efd868de0b8cf81766a
O365_METADATA_USERS,msft,o365_users,78fd9958629848ba8ac15ff21b93712b
O365_METADATA_GROUPS,msft,o365_groups,0b0499ac0d984145b201c6d674771dbf
O365_METADATA_GROUPS,msft,o365_groups,4c86ca05fb0d43fe86e47edd456a36f6
O365_METADATA_USER_CONTACTS,msft,o365_contacts,de1b694a6c8341958bc08c4b7c140874
O365_METADATA_USER_CONTACTS,msft,o365_contacts,33718ec92bff4d038bb36caa1a5c6fd0
O365_METADATA_DOMAINS,msft,o365_domains,cae29fd87b554bd9a5694afb225e8dc9
O365_METADATA_DOMAINS,msft,o365_domains,812d9875d0254cfdb19015ea88752081
O365_METADATA_MAILBOX_SETTINGS,msft,o365_mailboxes,9855a03559ce4263b568671e695d1fa8
O365_METADATA_MAILBOX_SETTINGS,msft,o365_mailboxes,9849ab5dee664affa8e1ce33cfc44973
GSUITE_METADATA_CHROMEOSDEVICES,Google,workspace_chromeosdevices,e82ae276e6b9442fa80920a03d2a38d6
Gmail,Google,workspace_emails,7cd84ed1bad24ecf8262176cd75cf53f
GSUITE_METADATA_GROUPS,Google,workspace_groups,689ae8ef14e848e3855b81e91d8af9bc
GSUITE_METADATA_DOMAINS,Google,workspace_domains,2738e963ac3141afaad05885e060a73c
GSUITE_METADATA_PROFILES,Google,workspace_profiles,f2aed57ff13c439eb93153ba7309fe87
GSUITE_METADATA_RULES,Google,workspace_rules,2621aaf3334a4147ae727afe84db31a9
GSUITE_METADATA_ORGANIZATION,Google,workspace_org,4e342367057d46c7b38ce7d40682fd1e
GSUITE_METADATA_GROUP_MEMBERS,Google,workspace_group_members,8a0140fc47b643838d0fcf096773c0a1
GSUITE_METADATA_CONTACTS,Google,workspace_contacts,d20d6cfea3e943d5a5a6bc005c429ef4
GSUITE_METADATA_USERS,Google,workspace_users,359ecd845fa54caab6ddb4b7c7a2764d
GSUITE_METADATA_MAILBOXES,Google,workspace_mailboxes,328796d692f343c38f07351e8c783f80
GSUITE_METADATA_USERSSEND_AS_ALIASES,Google,workspace_userssend_as_aliases,3b8f9e65f8ed43f4a4e5679236691fe2
GSUITE_METADATA_SCHEMAS,Google,workspace_schemas,c978986a6b3846c7b6fdbe15bef14f69
GSUITE_METADATA_MAILBOX_SETTINGS,Google,workspace_mailbox_settings,3c4beffadfac40a18aaf4d143a19dc27
GSUITE_METADATA_PRIVILEGES,Google,workspace_privileges,462ebcbfce9341ac8c006e5aa45ccf44
GSUITE_METADATA_MOBILE_DEVICES,Google,workspace_mobile_devices,149b58ec938d4d1a8568359483e50800
GSUITE_METADATA_ROLES,Google,workspace_roles,82170b42b9684b79bda124c712bcbdc0
GSUITE_METADATA_CONTACT_GROUPS,Google,workspace_contact_groups,5a42004787064021a462bb2120160514
GSUITE_METADATA_APPLICATIONS,Google,workspace_apps,5a617df8827d461db66a10d084c7b39f
